Unnamed: 0,Date,User,Tweet,Location,ppt,sentiment
11,2023-04-10 00:14:19.691542288,User_10,@megatop99 @ccicpolri @mohmahfudmd @jokowi iya bener bang kebebasan tanpa rambu rambu yg jelas tanpa hukum yg tegas lama lama akan runtuh.,"Jakarta, Indonesia","['megatop99', 'ccicpolri', 'mohmahfudmd', 'jokowi', 'iya', 'bener', 'bang', 'bebas', 'rambu', 'rambu', 'yg', 'jelas', 'hukum', 'yg', 'tegas', 'lama', 'lama', 'runtuh']",positif
12,2023-04-10 00:15:45.660696517,User_11,"@jokowi waduk sdh dibenahi ditengah ramainya nyinyiran, skrg pem akan tingkatkan ketahanan pangan, jd hrs tahu klu… https://t.co/byskbqozt3","Bekasi, Indonesia","['jokowi', 'waduk', 'sdh', 'benah', 'tengah', 'ramai', 'nyinyir', 'skrg', 'pem', 'tingkat', 'tahan', 'pangan', 'jd', 'hrs', 'tahu', 'klu', 'https', 't', 'co', 'byskbqozt3']",positif
13,2023-04-10 00:17:11.629850746,User_12,@luckman33491120 @lukmanrudianto @bliliang @dennysiregar7 @jokowi ganjar kan junjunganmu bong .. kalau cebong seka… https://t.co/jfrpjnyile,"Surabaya, Indonesia","['luckman33491120', 'lukmanrudianto', 'bliliang', 'dennysiregar7', 'jokowi', 'ganjar', 'kan', 'junjung', 'bong', 'kalau', 'cebong', 'seka', 'https', 't', 'co', 'jfrpjnyile']",positif
14,2023-04-10 00:18:37.599004975,User_13,rt @yaniarsim: 🤣🤣🤣 ....... untung pak @jokowi ga denger https://t.co/jczkcrxy4f,"Bandung, Indonesia","['rt', 'yaniarsim', 'untung', 'pak', 'jokowi', 'ga', 'denger', 'https', 't', 'co', 'jczkcrxy4f']",negatif
15,2023-04-10 00:20:03.568159203,User_14,"rt @yudiset16452924: presiden @jokowi : hati hati yg suka makan roti, makan mie harganya bakal naik karena ada perang di ukraina🤣🤣🤣🤣jadi k…","Bandung, Indonesia","['rt', 'yudiset16452924', 'presiden', 'jokowi', 'hati', 'hati', 'yg', 'suka', 'makan', 'roti', 'makan', 'mie', 'harga', 'bakal', 'naik', 'perang', 'ukraina', 'jadi', 'k']",negatif
16,2023-04-10 00:21:29.537313432,User_15,@katzedikke @12_0_8_1 @erickthohir @jokowi 😷cie dikata cakep @gloriahermawan,"Bandung, Indonesia","['katzedikke', '12', '0', '8', '1', 'erickthohir', 'jokowi', 'cie', 'kata', 'cakep', 'gloriahermawan']",netral
17,2023-04-10 00:22:55.506467661,User_16,rt @desamakmur1: media massa merupakan corong informasi dari desa pun bisa tersebarluaskan melalui media massa. @jokowi @halimiskandarnu @…,"Bekasi, Indonesia","['rt', 'desamakmur1', 'media', 'massa', 'rupa', 'corong', 'informasi', 'desa', 'tersebarluaskan', 'lalu', 'media', 'massa', 'jokowi', 'halimiskandarnu']",netral
18,2023-04-10 00:24:21.475621890,User_17,"rt @uyokback: tuh dab @jokowi, dengar omongannya @66hasto dari @pdi_perjuangan. https://t.co/mkwf5ekdi0","Bandung, Indonesia","['rt', 'uyokback', 'tuh', 'dab', 'jokowi', 'dengar', 'omong', '66hasto', 'pdi', 'juang', 'https', 't', 'co', 'mkwf5ekdi0']",netral
19,2023-04-10 00:25:47.444776119,User_18,"rt @infosebelah: sultan mah bebas, sudah terbukti bersalah nga tahan, tekanan publik makin kencang terpaksa di tahan tp tidak di borgol. l…","Jakarta, Indonesia","['rt', 'infosebelah', 'sultan', 'mah', 'bebas', 'bukti', 'salah', 'nga', 'tahan', 'tekan', 'publik', 'makin', 'kencang', 'paksa', 'tahan', 'tp', 'borgol', 'l']",positif
20,2023-04-10 00:27:13.413930348,User_19,"rt @nicho_silalahi: ayo seluruh rakyat indonesia sudah saatnya kita bersama menghancurkan oligarki jahanam itu, jangan lagi kalian berpangk…","Bandung, Indonesia","['rt', 'nicho', 'silalahi', 'ayo', 'seluruh', 'rakyat', 'indonesia', 'saat', 'sama', 'hancur', 'oligarki', 'jahanam', 'itu', 'jangan', 'kalian', 'berpangk']",netral
21,2023-04-10 00:28:39.383084577,User_20,"rt @valosenadya1: @erickthohir @jokowi rick, you kan ceo korporasi besar seblm masuk politik, you pasti tau persis pertumbuhan ekonomi tak…","Bekasi, Indonesia","['rt', 'valosenadya1', 'erickthohir', 'jokowi', 'rick', 'you', 'kan', 'ceo', 'korporasi', 'besar', 'seblm', 'masuk', 'politik', 'you', 'tau', 'persis', 'tumbuh', 'ekonomi', 'tak']",negatif
22,2023-04-10 00:30:05.352238805,User_21,presiden @jokowi merespons pertanyaan awak media terkait pengganti wakil ketua kpk lili pintauli siregar. presiden… https://t.co/ibfd9vy7oe,"Surabaya, Indonesia","['presiden', 'jokowi', 'respons', 'tanya', 'awak', 'media', 'kait', 'ganti', 'wakil', 'ketua', 'kpk', 'lili', 'pintauli', 'siregar', 'presiden', 'https', 't', 'co', 'ibfd9vy7oe']",netral
23,2023-04-10 00:31:31.321393034,User_22,"@erickthohir @jokowi omong kosong...!! orang miskin &amp; bodoh pasti termakan dg tipu daya begini, tapi tidak untuk m… https://t.co/rmseeuhyzz","Surabaya, Indonesia","['erickthohir', 'jokowi', 'omong', 'kosong', 'orang', 'miskin', 'amp', 'bodoh', 'makan', 'dg', 'tipu', 'daya', 'begini', 'm', 'https', 't', 'co', 'rmseeuhyzz']",netral
24,2023-04-10 00:32:57.290547263,User_23,@conannkri @ccicpolri @mohmahfudmd negara demokrasi itu hukumnya hrs tegas dan adil.ibarat kereta api dan relnya.ke… https://t.co/eeggswuo4w,"Bandung, Indonesia","['conannkri', 'ccicpolri', 'mohmahfudmd', 'negara', 'demokrasi', 'hukum', 'hrs', 'tegas', 'adil', 'ibarat', 'kereta', 'api', 'rel', 'ke', 'https', 't', 'co', 'eeggswuo4w']",negatif
25,2023-04-10 00:34:23.259701492,User_24,"@erickananta7 @richardws221188 @jokowi kalau lombok mahal pun, daya beli masyarakat pun semakin menurun... akhirnya… https://t.co/ahpthmuyc1","Bekasi, Indonesia","['erickananta7', 'richardws221188', 'jokowi', 'kalau', 'lombok', 'mahal', 'pun', 'daya', 'beli', 'masyarakat', 'makin', 'turun', 'akhir', 'https', 't', 'co', 'ahpthmuyc1']",positif
26,2023-04-10 00:35:49.228855721,User_25,rt @gratisterbaik: pak @jokowi kita bukan musuh pemerintah. kita cuma rakyat yang minta pemeritah mematuhi hukum dan mewakili kepentingan r…,"Jakarta, Indonesia","['rt', 'gratisterbaik', 'pak', 'jokowi', 'bukan', 'musuh', 'perintah', 'cuma', 'rakyat', 'minta', 'per', 'patuh', 'hukum', 'wakil', 'penting', 'r']",netral
27,2023-04-10 00:37:15.198009950,User_26,@sapporo_jack1 @heryidris5 @divhumas_polri @ccicpolri @jokowi @listyosigitp @kepolisian_ri @kspgoid tidak ada hub d… https://t.co/jlcbpfg0e7,"Jakarta, Indonesia","['sapporo', 'jack1', 'heryidris5', 'divhumas', 'polri', 'ccicpolri', 'jokowi', 'listyosigitp', 'polisi', 'ri', 'kspgoid', 'hub', 'd', 'https', 't', 'co', 'jlcbpfg0e7']",netral
28,2023-04-10 00:38:41.167164179,User_27,@katzedikke @erickthohir @jokowi nih baru ketemu lawan sejati wkwkw,"Bekasi, Indonesia","['katzedikke', 'erickthohir', 'jokowi', 'nih', 'baru', 'ketemu', 'lawan', 'sejati', 'wkwkw']",positif
29,2023-04-10 00:40:07.136318407,User_28,rt @kurawa: ditegor harisson ford ✅️ditegor @jokowi ✅️mungkin ini yang bisa buat nurut: ditegor dan dipanggil tuhan ?? kalo bahasa be…,"Bandung, Indonesia","['rt', 'rawa', 'ditegor', 'harisson', 'ford', 'ditegor', 'jokowi', 'mungkin', 'buat', 'nurut', 'ditegor', 'panggil', 'tuhan', 'kalo', 'bahasa', 'be']",netral
30,2023-04-10 00:41:33.105472636,User_29,"https://t.co/b4pkt4q9ev kerja terus pakde @jokowi, semangat!!!","Surabaya, Indonesia","['https', 't', 'co', 'b4pkt4q9ev', 'kerja', 'terus', 'pakde', 'jokowi', 'semangat']",netral
31,2023-04-10 00:42:59.074626865,User_30,@rezim_biadab @catatan_ali7 @erickthohir @jokowi pola nya mirip,"Bandung, Indonesia","['rezim', 'biadab', 'catat', 'ali7', 'erickthohir', 'jokowi', 'pola', 'nya', 'mirip']",negatif
32,2023-04-10 00:44:25.043781094,User_31,"https://t.co/z9edsvrk5g
gas pol pakde @jokowi","Bandung, Indonesia","['https', 't', 'co', 'z9edsvrk5g', 'gas', 'pol', 'pakde', 'jokowi']",positif
33,2023-04-10 00:45:51.012935323,User_32,"rt @erickthohir: di pasar sukamandi, presiden @jokowi memberikan sejumlah bantuan. ini cara pemerintah memacu pertumbuhan ekonomi pascapand…","Bandung, Indonesia","['rt', 'erickthohir', 'pasar', 'sukamandi', 'presiden', 'jokowi', 'beri', 'jumlah', 'bantu', 'cara', 'perintah', 'pacu', 'tumbuh', 'ekonomi', 'pascapand']",positif
34,2023-04-10 00:47:16.982089552,User_33,"@jokowi kalau lahan pertanian semakin hilang, harga pupuk semakin naik, harga gabah cenderung stagnan, petani padi… https://t.co/eegyb6xxes","Bekasi, Indonesia","['jokowi', 'kalau', 'lahan', 'tani', 'makin', 'hilang', 'harga', 'pupuk', 'makin', 'naik', 'harga', 'gabah', 'cenderung', 'stagnan', 'tani', 'padi', 'https', 't', 'co', 'eegyb6xxes']",negatif
35,2023-04-10 00:48:42.951243781,User_34,"@machbeach @lukmanrudianto @bliliang @dennysiregar7 @jokowi persis junjunganye
kadron ga bisa jauh dari selangkanga… https://t.co/tyjpkhambm","Bekasi, Indonesia","['machbeach', 'lukmanrudianto', 'bliliang', 'dennysiregar7', 'jokowi', 'persis', 'junjunganye', 'kadron', 'ga', 'jauh', 'selangkanga', 'https', 't', 'co', 'tyjpkhambm']",positif
36,2023-04-10 00:50:08.920398009,User_35,"https://t.co/rttzflfcsu
nih instruksi pak presiden @jokowi","Bekasi, Indonesia","['https', 't', 'co', 'rttzflfcsu', 'nih', 'instruksi', 'pak', 'presiden', 'jokowi']",positif
37,2023-04-10 00:51:34.889552238,User_36,rt @ipeh_tetapnganu: halooow pak @jokowi... becandanya kelewatan eneh.. 😂😂🤭🤭 https://t.co/yabepsikls,"Jakarta, Indonesia","['rt', 'ipeh', 'tetapnganu', 'halooow', 'pak', 'jokowi', 'becandanya', 'lewat', 'eneh', 'https', 't', 'co', 'yabepsikls']",negatif
38,2023-04-10 00:53:00.858706467,User_37,"@erickthohir @jokowi yg awam jg tau kale, klo mau memacu pertumbuhan itu bikin kebijakan yg pro rakyat, klo bagi2 duit mah namanya nyogok.","Jakarta, Indonesia","['erickthohir', 'jokowi', 'yg', 'awam', 'jg', 'tau', 'kale', 'klo', 'mau', 'pacu', 'tumbuh', 'bikin', 'bijak', 'yg', 'pro', 'rakyat', 'klo', 'bagi2', 'duit', 'mah', 'nama', 'nyogok']",negatif
39,2023-04-10 00:54:26.827860696,User_38,pak @jokowi gas pol ketahanan pangan https://t.co/pzaxr3uhsk,"Bandung, Indonesia","['pak', 'jokowi', 'gas', 'pol', 'tahan', 'pangan', 'https', 't', 'co', 'pzaxr3uhsk']",netral
40,2023-04-10 00:55:52.797014925,User_39,pak @jokowi gas pol ketahanan pangan https://t.co/dr5iqr8duu,"Bandung, Indonesia","['pak', 'jokowi', 'gas', 'pol', 'tahan', 'pangan', 'https', 't', 'co', 'dr5iqr8duu']",netral
41,2023-04-10 00:57:18.766169154,User_40,rt @mudasirromini: @jokowi semoga bapak presiden @jokowi sukses &amp; sehat selalu . amin https://t.co/pw6gpnpdoj,"Jakarta, Indonesia","['rt', 'mudasirromini', 'jokowi', 'moga', 'bapak', 'presiden', 'jokowi', 'sukses', 'amp', 'sehat', 'selalu', 'amin', 'https', 't', 'co', 'pw6gpnpdoj']",negatif
42,2023-04-10 00:58:44.735323383,User_41,@jokowi fix bahasa halusynya jokowi ini sembako mau naik.. wes apal klakuane...,"Surabaya, Indonesia","['jokowi', 'fix', 'bahasa', 'halusynya', 'jokowi', 'sembako', 'mau', 'naik', 'wes', 'apal', 'klakuane']",netral
43,2023-04-10 01:00:10.704477611,User_42,pak @jokowi gas pol ketahanan pangan https://t.co/6j7ywuf29w,"Bandung, Indonesia","['pak', 'jokowi', 'gas', 'pol', 'tahan', 'pangan', 'https', 't', 'co', '6j7ywuf29w']",positif
44,2023-04-10 01:01:36.673631840,User_43,"@jokowi pupuk sudah hancur2n dan bapak ngomong ketersediaan pangan, harga jual anjlok solusi lah gmn pak.atau harus solusi dr rakyat?","Bandung, Indonesia","['jokowi', 'pupuk', 'hancur2n', 'bapak', 'ngomong', 'sedia', 'pangan', 'harga', 'jual', 'anjlok', 'solusi', 'lah', 'gmn', 'pak', 'atau', 'solusi', 'dr', 'rakyat']",positif
45,2023-04-10 01:03:02.642786069,User_44,@erickthohir @jokowi et dah... trus tuh pedagang lngsng jd sultan atau hidup senang sampai maut menjemput...???,"Bandung, Indonesia","['erickthohir', 'jokowi', 'et', 'dah', 'trus', 'tuh', 'dagang', 'lngsng', 'jd', 'sultan', 'hidup', 'senang', 'maut', 'jemput']",positif
46,2023-04-10 01:04:28.611940298,User_45,"perkuat ekonomi indonesia, yasonna ikuti diskusi meja bundar di swiss
website: https://t.co/ffqhjfkess… https://t.co/7038wmjvbq","Bekasi, Indonesia","['kuat', 'ekonomi', 'indonesia', 'yasonna', 'ikut', 'diskusi', 'meja', 'bundar', 'swiss', 'website', 'https', 't', 'co', 'ffqhjfkess', 'https', 't', 'co', '7038wmjvbq']",netral
47,2023-04-10 01:05:54.581094527,User_46,@sahabatsaber pak @jokowi kelakuan zulhas itu sangat memalukan kabinet bapak,"Surabaya, Indonesia","['sahabatsaber', 'pak', 'jokowi', 'laku', 'zulhas', 'sangat', 'malu', 'kabinet', 'bapak']",positif
48,2023-04-10 01:07:20.550248756,User_47,"rt @circle0fl1fe: presiden @jokowi gas pol penegakkan hukum? pinginnya sih gitu. tujuan dari keadilan restoratif ini baik, masalahnya p…","Surabaya, Indonesia","['rt', 'circle0fl1fe', 'presiden', 'jokowi', 'gas', 'pol', 'tegak', 'hukum', 'pinginnya', 'sih', 'gitu', 'tuju', 'adil', 'restoratif', 'baik', 'masalah', 'p']",positif
49,2023-04-10 01:08:46.519402985,User_48,"rt @circle0fl1fe: pemerintahan @jokowi gas pol ketahanan energi. untuk menjaga ketahanan energi nasional, pertamina dongkrak produksi mig…","Bandung, Indonesia","['rt', 'circle0fl1fe', 'perintah', 'jokowi', 'gas', 'pol', 'tahan', 'energi', 'jaga', 'tahan', 'energi', 'nasional', 'pertamina', 'dongkrak', 'produksi', 'mig']",negatif
50,2023-04-10 01:10:12.488557213,User_49,"rt @circle0fl1fe: presiden @jokowi meninjau langsung balai besar penelitian tanaman padi (bbpadi) di kabupaten subang, jawa barat, hari ini…","Jakarta, Indonesia","['rt', 'circle0fl1fe', 'presiden', 'jokowi', 'tinjau', 'langsung', 'balai', 'besar', 'teliti', 'tanam', 'padi', 'bbpadi', 'kabupaten', 'subang', 'jawa', 'barat', 'hari', 'ini']",negatif
51,2023-04-10 01:11:38.457711442,User_50,rt @circle0fl1fe: keterangan pers presiden @jokowi saat berkunjung ke pasar sukamandi kabupaten subang jawa barat. presiden membagikan ba…,"Bandung, Indonesia","['rt', 'circle0fl1fe', 'terang', 'pers', 'presiden', 'jokowi', 'kunjung', 'pasar', 'sukamandi', 'kabupaten', 'subang', 'jawa', 'barat', 'presiden', 'bagi', 'ba']",positif
52,2023-04-10 01:13:04.426865671,User_51,"rt @circle0fl1fe: kunjungan kerja presiden @jokowi ke kabupaten subang jawa barat, 12-7-2022.
dalam setiap kunjungan kerja ke daerah, pres…","Surabaya, Indonesia","['rt', 'circle0fl1fe', 'kunjung', 'kerja', 'presiden', 'jokowi', 'kabupaten', 'subang', 'jawa', 'barat', '12-7-2022', 'kunjung', 'kerja', 'daerah', 'pres']",negatif
53,2023-04-10 01:14:30.396019900,User_52,@erickthohir @jokowi memangnya negara sebatas pasar sukomandi?,"Jakarta, Indonesia","['erickthohir', 'jokowi', 'memang', 'negara', 'batas', 'pasar', 'sukomandi']",netral
54,2023-04-10 01:15:56.365174129,User_53,"@triobenga @jokotol7 @ek_sunartoclp @sigamu_b_i_t @jokowi yg distop kan impor besar besaran, mungkin yg di maksud… https://t.co/7bps2f8pou","Surabaya, Indonesia","['triobenga', 'jokotol7', 'ek', 'sunartoclp', 'sigamu', 'b', 'i', 't', 'jokowi', 'yg', 'stop', 'kan', 'impor', 'besar', 'besar', 'mungkin', 'yg', 'maksud', 'https', 't', 'co', '7bps2f8pou']",positif
55,2023-04-10 01:17:22.334328358,User_54,"@detikcom agak heran seh, knp kmrn pak @jokowi milih dia jadi menterinya.?","Jakarta, Indonesia","['detikcom', 'heran', 'seh', 'knp', 'kmrn', 'pak', 'jokowi', 'milih', 'jadi', 'menteri']",netral
56,2023-04-10 01:18:48.303482587,User_55,"rt @ndrairawan99: idm meningkat ipm harus meningkat. semangat membangun indonesia dari desa.
@jokowi
@halimiskandarnu
@imansyukri
@malik_ha…","Surabaya, Indonesia","['rt', 'ndrairawan99', 'idm', 'tingkat', 'ipm', 'tingkat', 'semangat', 'bangun', 'indonesia', 'desa', 'jokowi', 'halimiskandarnu', 'imansyukri', 'malik', 'ha']",positif
57,2023-04-10 01:20:14.272636815,User_56,@gus_arifin @jokowi tae quda lah,"Bekasi, Indonesia","['gus', 'arifin', 'jokowi', 'tae', 'quda', 'lah']",positif
58,2023-04-10 01:21:40.241791044,User_57,"@penjagajokowi1 @jokowi g tau sih apa alsannyaku,
tiap liat pak prabowo dampingi pak jokowi, rasa adeem gitu.
moga… https://t.co/l8l9mawvdd","Bekasi, Indonesia","['penjagajokowi1', 'jokowi', 'g', 'tau', 'sih', 'apa', 'alsannyaku', 'tiap', 'liat', 'pak', 'prabowo', 'damping', 'pak', 'jokowi', 'rasa', 'adeem', 'gitu', 'moga', 'https', 't', 'co', 'l8l9mawvdd']",negatif
59,2023-04-10 01:23:06.210945273,User_58,@jaenoxtm @erickthohir @jokowi pejabat itu sebenarnya maling yg nyata.,"Bandung, Indonesia","['jaenoxtm', 'erickthohir', 'jokowi', 'jabat', 'benar', 'maling', 'yg', 'nyata']",netral
60,2023-04-10 01:24:32.180099502,User_59,@narasinewsroom bagaimana ini slogan presisi nya pak kapolri @listyosigitp kok ceritanya terkesan dipaksakan dan ba… https://t.co/jedvg5wscd,"Surabaya, Indonesia","['narasinewsroom', 'bagaimana', 'slogan', 'presisi', 'nya', 'pak', 'kapolri', 'listyosigitp', 'kok', 'cerita', 'kes', 'paksa', 'ba', 'https', 't', 'co', 'jedvg5wscd']",netral
61,2023-04-10 01:25:58.149253731,User_60,"rt @tjhoois: 🇲🇨 indonesia hebat 👍‼️ tdk termasuk dlm negara yg terancam bangkrut dibawah ini, pemerintah @jokowi dan semua elemen masyaraka…","Surabaya, Indonesia","['rt', 'tjhoois', 'indonesia', 'hebat', 'tdk', 'masuk', 'dlm', 'negara', 'yg', 'ancam', 'bangkrut', 'bawah', 'ini', 'perintah', 'jokowi', 'semua', 'elemen', 'masyaraka']",positif
62,2023-04-10 01:27:24.118407960,User_61,"rt @imbangimedia: betul. baru hutang rp 748 triliun aja sudah chaos &amp; pejabatnya melarikan diri. kita sih tenang aja, meski hutang &gt; 7000…","Bekasi, Indonesia","['rt', 'imbangimedia', 'betul', 'baru', 'hutang', 'rp', '748', 'triliun', 'aja', 'chaos', 'amp', 'jabat', 'lari', 'diri', 'sih', 'tenang', 'aja', 'meski', 'hutang', 'gt', '7000']",negatif
63,2023-04-10 01:28:50.087562189,User_62,@aqylah_nadya @komnasham @komisiyudisial @najwashihab @matanajwa @mahkamahagung @mohmahfudmd @ylbhi @awkarin… https://t.co/ie2kesnr1r,"Jakarta, Indonesia","['aqylah', 'nadya', 'komnasham', 'komisiyudisial', 'najwashihab', 'matanajwa', 'mahkamahagung', 'mohmahfudmd', 'ylbhi', 'awkarin', 'https', 't', 'co', 'ie2kesnr1r']",positif
64,2023-04-10 01:30:16.056716417,User_63,"presiden @jokowi melakukan kunjungan kerja hari ini 12-7-2022 ke kabupaten subang, jawa barat. bersyukur para ped… https://t.co/znv9xyfyvp","Bekasi, Indonesia","['presiden', 'jokowi', 'laku', 'kunjung', 'kerja', 'hari', '12-7-2022', 'kabupaten', 'subang', 'jawa', 'barat', 'syukur', 'ped', 'https', 't', 'co', 'znv9xyfyvp']",positif
65,2023-04-10 01:31:42.025870646,User_64,"@andi_sharif pa @jokowi, minta donk satu kartunya","Bandung, Indonesia","['andi', 'sharif', 'pa', 'jokowi', 'minta', 'donk', 'satu', 'kartu']",negatif
66,2023-04-10 01:33:07.995024875,User_65,"keren juga si ompung pak @jokowi !
tapi pertanyaannya
kapan batas waktu mindahinnya?
kalo mrka nolak trus apa? lu… https://t.co/7cbekk4k6z","Surabaya, Indonesia","['keren', 'si', 'ompung', 'pak', 'jokowi', 'tanya', 'kapan', 'batas', 'waktu', 'mindahinnya', 'kalo', 'mrka', 'nolak', 'trus', 'apa', 'lu', 'https', 't', 'co', '7cbekk4k6z']",positif
67,2023-04-10 01:34:33.964179104,User_66,@nicho_silalahi @jokowi gas keun 👊👊👊,"Bandung, Indonesia","['nicho', 'silalahi', 'jokowi', 'gas', 'keun']",positif
68,2023-04-10 01:35:59.933333333,User_67,"@jokowi pak, aparat hukum tidak tegas, mohon ditertibkan. https://t.co/dnx8dkullg","Surabaya, Indonesia","['jokowi', 'pak', 'aparat', 'hukum', 'tegas', 'mohon', 'tertib', 'https', 't', 'co', 'dnx8dkullg']",negatif
69,2023-04-10 01:37:25.902487562,User_68,"rt @jokowi: saya telah bertemu dan berbicara dengan presiden rusia vladimir putin, kamis sore di istana kremlin. saya telah menyampaikan…","Surabaya, Indonesia","['rt', 'jokowi', 'temu', 'bicara', 'presiden', 'rusia', 'vladimir', 'putin', 'kamis', 'sore', 'istana', 'kremlin', 'sampai']",positif
70,2023-04-10 01:38:51.871641791,User_69,"rt @puspaswarna: @romeowalker19 @kpk_ri @jokowi negara kita udh macam pny 2 ""polisi"" utk urusan korupsi...yudikatif dg polrinya, eksekutif…","Jakarta, Indonesia","['rt', 'puspaswarna', 'romeowalker19', 'kpk', 'ri', 'jokowi', 'negara', 'udh', 'macam', 'pny', '2', 'polisi', 'utk', 'urus', 'korupsi', 'yudikatif', 'dg', 'polrinya', 'eksekutif']",netral
71,2023-04-10 01:40:17.840796019,User_70,"rt @jokowi: di meja bundar kecil ini, saya dan presiden zelenskyy berbincang di istana maryinsky, kyiv.
perjalanan saya ke ibu kota ukrain…","Jakarta, Indonesia","['rt', 'jokowi', 'meja', 'bundar', 'kecil', 'ini', 'presiden', 'zelenskyy', 'bincang', 'istana', 'maryinsky', 'kyiv', 'jalan', 'ibu', 'kota', 'ukrain']",positif
72,2023-04-10 01:41:43.809950248,User_71,"rt @romeowalker19: @puspaswarna @kpk_ri hanya bisa ber andai2 mpus, presiden @jokowi sudi dg serius memfungsikan kembali @kpk_ri sesuai dg…","Bekasi, Indonesia","['rt', 'romeowalker19', 'puspaswarna', 'kpk', 'ri', 'ber', 'andai2', 'mpus', 'presiden', 'jokowi', 'sudi', 'dg', 'serius', 'fungsi', 'kpk', 'ri', 'sesuai', 'dg']",netral
73,2023-04-10 01:43:09.779104477,User_72,"@erickthohir @jokowi duitnya dari mana itu woy?
tiap hari ngasih bantuan tapi kekayaan makin meningkat?","Jakarta, Indonesia","['erickthohir', 'jokowi', 'duit', 'mana', 'woy', 'tiap', 'hari', 'ngasih', 'bantu', 'kaya', 'makin', 'tingkat']",Negatif
74,2023-04-10 01:44:35.748258706,User_73,"@erickthohir @jokowi memacu ekonomi?
dengan hanya memberi bantuan ke segelintir orang?
yang pasti itu pencitraan.","Bandung, Indonesia","['erickthohir', 'jokowi', 'pacu', 'ekonomi', 'beri', 'bantu', 'gelintir', 'orang', 'citra']",netral
